mesure_id,annee,mois,jour,heure,minute,valeur,unite,camera_id
1,2025,10,29,23,30,5.533333333333333,px moyen,SIM1
2,2025,10,29,23,30,0.0,px min,SIM1
3,2025,10,29,23,30,8.0,px max,SIM1
4,2025,10,29,23,30,30.0,count sample,SIM1
5,2025,10,29,23,45,0.0,px moyen,SIM1
6,2025,10,29,23,45,0.0,px min,SIM1
7,2025,10,29,23,45,0.0,px max,SIM1
8,2025,10,29,23,45,30.0,count sample,SIM1
9,2025,10,30,0,0,2.4,px moyen,SIM1
10,2025,10,30,0,0,0.0,px min,SIM1
11,2025,10,30,0,0,7.0,px max,SIM1
12,2025,10,30,0,0,30.0,count sample,SIM1
13,2025,10,30,0,15,0.0,px moyen,SIM1
14,2025,10,30,0,15,0.0,px min,SIM1
15,2025,10,30,0,15,0.0,px max,SIM1
16,2025,10,30,0,15,30.0,count sample,SIM1
