mesure_id,annee,mois,jour,heure,minute,valeur,unite,camera_id
1,2025,9,28,13,15,0.5,px moyen,SIM1
2,2025,9,28,13,15,0.0,px min,SIM1
3,2025,9,28,13,15,3.0,px max,SIM1
4,2025,9,28,13,15,30.0,count sample,SIM1
5,2025,9,28,13,30,39.833333333333336,px moyen,SIM1
6,2025,9,28,13,30,38.0,px min,SIM1
7,2025,9,28,13,30,41.0,px max,SIM1
8,2025,9,28,13,30,30.0,count sample,SIM1
9,2025,9,28,13,45,0.0,px moyen,SIM1
10,2025,9,28,13,45,0.0,px min,SIM1
11,2025,9,28,13,45,0.0,px max,SIM1
12,2025,9,28,13,45,30.0,count sample,SIM1
13,2025,9,28,14,0,0.0,px moyen,SIM1
14,2025,9,28,14,0,0.0,px min,SIM1
15,2025,9,28,14,0,0.0,px max,SIM1
16,2025,9,28,14,0,30.0,count sample,SIM1
17,2025,9,28,14,15,0.0,px moyen,SIM1
18,2025,9,28,14,15,0.0,px min,SIM1
19,2025,9,28,14,15,0.0,px max,SIM1
20,2025,9,28,14,15,30.0,count sample,SIM1
21,2025,9,28,14,30,0.0,px moyen,SIM1
22,2025,9,28,14,30,0.0,px min,SIM1
23,2025,9,28,14,30,0.0,px max,SIM1
24,2025,9,28,14,30,30.0,count sample,SIM1
25,2025,9,28,14,45,0.0,px moyen,SIM1
26,2025,9,28,14,45,0.0,px min,SIM1
27,2025,9,28,14,45,0.0,px max,SIM1
28,2025,9,28,14,45,30.0,count sample,SIM1
29,2025,9,28,15,0,0.3,px moyen,SIM1
30,2025,9,28,15,0,0.0,px min,SIM1
31,2025,9,28,15,0,2.0,px max,SIM1
32,2025,9,28,15,0,30.0,count sample,SIM1
33,2025,9,28,15,15,0.0,px moyen,SIM1
34,2025,9,28,15,15,0.0,px min,SIM1
35,2025,9,28,15,15,0.0,px max,SIM1
36,2025,9,28,15,15,30.0,count sample,SIM1
37,2025,9,28,15,30,0.0,px moyen,SIM1
38,2025,9,28,15,30,0.0,px min,SIM1
39,2025,9,28,15,30,0.0,px max,SIM1
40,2025,9,28,15,30,30.0,count sample,SIM1
