mesure_id,annee,mois,jour,heure,minute,valeur,unite,camera_id
9,2025,8,10,10,40,142.7,px moyen,SIM1
10,2025,8,10,10,45,143.2,px moyen,SIM1
11,2025,8,10,10,55,144.0,px moyen,SIM1
12,2025,8,10,11,0,144.33333333333334,px moyen,SIM1
13,2025,8,10,11,5,144.6,px moyen,SIM1
14,2025,8,10,11,10,144.66666666666666,px moyen,SIM1
15,2025,8,10,11,21,144.03333333333333,px moyen,SIM1
16,2025,8,10,11,25,145.0,px moyen,SIM1
17,2025,8,10,11,30,146.3,px moyen,SIM1
18,2025,8,10,11,35,144.9,px moyen,SIM1
19,2025,8,10,11,40,142.8,px moyen,SIM1
20,2025,8,10,11,45,143.13333333333333,px moyen,SIM1
21,2025,8,10,11,50,141.96666666666667,px moyen,SIM1
22,2025,8,10,11,55,112.43333333333334,px moyen,SIM1
23,2025,8,10,12,0,133.63333333333333,px moyen,SIM1
24,2025,8,10,12,5,142.66666666666666,px moyen,SIM1
25,2025,8,10,12,10,143.0,px moyen,SIM1
26,2025,8,10,12,15,117.73333333333333,px moyen,SIM1
27,2025,8,10,12,20,144.0,px moyen,SIM1
28,2025,8,10,17,0,134.8,px moyen,SIM1
29,2025,8,10,17,5,143.53333333333333,px moyen,SIM1
30,2025,8,10,17,10,130.43333333333334,px moyen,SIM1
31,2025,8,10,17,15,146.0,px moyen,SIM1
32,2025,8,10,17,20,146.0,px moyen,SIM1
33,2025,8,10,17,25,145.06666666666666,px moyen,SIM1
34,2025,8,10,17,30,143.3,px moyen,SIM1
35,2025,8,10,17,35,144.0,px moyen,SIM1
36,2025,8,10,17,40,143.7,px moyen,SIM1
37,2025,8,10,17,45,145.96666666666667,px moyen,SIM1
38,2025,8,10,17,50,144.93333333333334,px moyen,SIM1
39,2025,8,16,0,10,81.63333333333334,px moyen,SIM1
40,2025,8,16,0,15,18.9,px moyen,SIM1
41,2025,8,16,0,20,82.93333333333334,px moyen,SIM1
42,2025,8,16,0,30,45.766666666666666,px moyen,SIM1
43,2025,8,16,0,30,19.0,px min,SIM1
44,2025,8,16,0,30,61.0,px max,SIM1
45,2025,8,16,0,35,6.9,px moyen,SIM1
46,2025,8,16,0,35,0.0,px min,SIM1
47,2025,8,16,0,35,33.0,px max,SIM1
48,2025,8,16,1,0,47.7,px moyen,SIM1
49,2025,8,16,1,0,18.0,px min,SIM1
50,2025,8,16,1,0,57.0,px max,SIM1
51,2025,8,16,15,50,105.1,px moyen,SIM1
52,2025,8,16,15,50,104.0,px min,SIM1
53,2025,8,16,15,50,106.0,px max,SIM1
54,2025,8,16,15,50,30.0,count sample,SIM1
55,2025,8,16,15,55,107.36666666666666,px moyen,SIM1
56,2025,8,16,15,55,107.0,px min,SIM1
57,2025,8,16,15,55,108.0,px max,SIM1
58,2025,8,16,15,55,30.0,count sample,SIM1
59,2025,8,16,16,0,109.83333333333333,px moyen,SIM1
60,2025,8,16,16,0,109.0,px min,SIM1
61,2025,8,16,16,0,111.0,px max,SIM1
62,2025,8,16,16,0,30.0,count sample,SIM1
63,2025,8,16,16,5,108.5,px moyen,SIM1
64,2025,8,16,16,5,107.0,px min,SIM1
65,2025,8,16,16,5,113.0,px max,SIM1
66,2025,8,16,16,5,30.0,count sample,SIM1
67,2025,8,16,16,10,106.4,px moyen,SIM1
68,2025,8,16,16,10,106.0,px min,SIM1
69,2025,8,16,16,10,107.0,px max,SIM1
70,2025,8,16,16,10,30.0,count sample,SIM1
71,2025,8,16,16,15,108.23333333333333,px moyen,SIM1
72,2025,8,16,16,15,107.0,px min,SIM1
73,2025,8,16,16,15,109.0,px max,SIM1
74,2025,8,16,16,15,30.0,count sample,SIM1
75,2025,8,16,16,20,107.76666666666667,px moyen,SIM1
76,2025,8,16,16,20,107.0,px min,SIM1
77,2025,8,16,16,20,109.0,px max,SIM1
78,2025,8,16,16,20,30.0,count sample,SIM1
79,2025,8,16,16,25,106.4,px moyen,SIM1
80,2025,8,16,16,25,106.0,px min,SIM1
81,2025,8,16,16,25,107.0,px max,SIM1
82,2025,8,16,16,25,30.0,count sample,SIM1
83,2025,8,16,16,30,108.0,px moyen,SIM1
84,2025,8,16,16,30,108.0,px min,SIM1
85,2025,8,16,16,30,108.0,px max,SIM1
86,2025,8,16,16,30,30.0,count sample,SIM1
87,2025,8,16,16,35,108.03333333333333,px moyen,SIM1
88,2025,8,16,16,35,108.0,px min,SIM1
89,2025,8,16,16,35,109.0,px max,SIM1
90,2025,8,16,16,35,30.0,count sample,SIM1
91,2025,8,16,16,40,111.86666666666666,px moyen,SIM1
92,2025,8,16,16,40,111.0,px min,SIM1
93,2025,8,16,16,40,113.0,px max,SIM1
94,2025,8,16,16,40,30.0,count sample,SIM1
95,2025,8,16,16,45,147.13333333333333,px moyen,SIM1
96,2025,8,16,16,45,146.0,px min,SIM1
97,2025,8,16,16,45,148.0,px max,SIM1
98,2025,8,16,16,45,30.0,count sample,SIM1
99,2025,8,16,16,50,149.0,px moyen,SIM1
100,2025,8,16,16,50,149.0,px min,SIM1
101,2025,8,16,16,50,149.0,px max,SIM1
102,2025,8,16,16,50,30.0,count sample,SIM1
103,2025,8,16,16,55,145.7,px moyen,SIM1
104,2025,8,16,16,55,145.0,px min,SIM1
105,2025,8,16,16,55,146.0,px max,SIM1
106,2025,8,16,16,55,30.0,count sample,SIM1
107,2025,8,16,17,0,148.1,px moyen,SIM1
108,2025,8,16,17,0,148.0,px min,SIM1
109,2025,8,16,17,0,149.0,px max,SIM1
110,2025,8,16,17,0,30.0,count sample,SIM1
111,2025,8,16,17,5,145.76666666666668,px moyen,SIM1
112,2025,8,16,17,5,144.0,px min,SIM1
113,2025,8,16,17,5,147.0,px max,SIM1
114,2025,8,16,17,5,30.0,count sample,SIM1
115,2025,8,16,17,10,149.0,px moyen,SIM1
116,2025,8,16,17,10,149.0,px min,SIM1
117,2025,8,16,17,10,149.0,px max,SIM1
118,2025,8,16,17,10,30.0,count sample,SIM1
119,2025,8,16,17,15,126.46666666666667,px moyen,SIM1
120,2025,8,16,17,15,117.0,px min,SIM1
121,2025,8,16,17,15,130.0,px max,SIM1
122,2025,8,16,17,15,30.0,count sample,SIM1
123,2025,8,16,17,20,107.63333333333334,px moyen,SIM1
