"mesure_id","annee","mois","jour","heure","minute","valeur","unite","camera_id"
1,2025,8,16,22,15,"88.7","px moyen","SIM1"
2,2025,8,16,22,15,"87","px min","SIM1"
3,2025,8,16,22,15,"90","px max","SIM1"
4,2025,8,16,22,30,"99.47777777777777","px moyen","SIM1"
5,2025,8,16,22,30,"96","px min","SIM1"
6,2025,8,16,22,30,"104","px max","SIM1"
7,2025,8,16,22,30,"90","count sample","SIM1"
8,2025,8,16,23,30,"72.02222222222223","px moyen","SIM1"
9,2025,8,16,23,30,"23","px min","SIM1"
10,2025,8,16,23,30,"86","px max","SIM1"
11,2025,8,16,23,30,"90","count sample","SIM1"
12,2025,8,17,0,30,"89.47777777777777","px moyen","SIM1"
13,2025,8,17,0,30,"64","px min","SIM1"
14,2025,8,17,0,30,"94","px max","SIM1"
15,2025,8,17,0,30,"90","count sample","SIM1"
16,2025,8,17,1,0,"82.06666666666666","px moyen","SIM1"
17,2025,8,17,1,0,"42","px min","SIM1"
18,2025,8,17,1,0,"95","px max","SIM1"
19,2025,8,17,1,0,"90","count sample","SIM1"
20,2025,8,17,1,30,"44.13333333333333","px moyen","SIM1"
21,2025,8,17,1,30,"0","px min","SIM1"
22,2025,8,17,1,30,"91","px max","SIM1"
23,2025,8,17,1,30,"90","count sample","SIM1"
24,2025,8,17,2,0,"97.91111111111111","px moyen","SIM1"
25,2025,8,17,2,0,"84","px min","SIM1"
26,2025,8,17,2,0,"104","px max","SIM1"
27,2025,8,17,2,0,"90","count sample","SIM1"
28,2025,8,17,2,30,"92.66666666666667","px moyen","SIM1"
29,2025,8,17,2,30,"84","px min","SIM1"
30,2025,8,17,2,30,"103","px max","SIM1"
31,2025,8,17,2,30,"90","count sample","SIM1"
32,2025,8,17,3,0,"100.04444444444445","px moyen","SIM1"
33,2025,8,17,3,0,"88","px min","SIM1"
34,2025,8,17,3,0,"119","px max","SIM1"
35,2025,8,17,3,0,"90","count sample","SIM1"
36,2025,8,17,3,30,"99.61111111111111","px moyen","SIM1"
37,2025,8,17,3,30,"93","px min","SIM1"
38,2025,8,17,3,30,"107","px max","SIM1"
39,2025,8,17,3,30,"90","count sample","SIM1"
40,2025,8,17,4,0,"104.6","px moyen","SIM1"
41,2025,8,17,4,0,"93","px min","SIM1"
42,2025,8,17,4,0,"124","px max","SIM1"
43,2025,8,17,4,0,"90","count sample","SIM1"
44,2025,8,17,4,30,"29.2","px moyen","SIM1"
45,2025,8,17,4,30,"0","px min","SIM1"
46,2025,8,17,4,30,"83","px max","SIM1"
47,2025,8,17,4,30,"90","count sample","SIM1"
48,2025,8,17,5,0,"80","px moyen","SIM1"
49,2025,8,17,5,0,"77","px min","SIM1"
50,2025,8,17,5,0,"83","px max","SIM1"
51,2025,8,17,5,0,"90","count sample","SIM1"
52,2025,8,17,5,30,"108.5","px moyen","SIM1"
53,2025,8,17,5,30,"108","px min","SIM1"
54,2025,8,17,5,30,"110","px max","SIM1"
55,2025,8,17,5,30,"90","count sample","SIM1"
56,2025,8,17,6,0,"126.05555555555556","px moyen","SIM1"
57,2025,8,17,6,0,"116","px min","SIM1"
58,2025,8,17,6,0,"144","px max","SIM1"
59,2025,8,17,6,0,"90","count sample","SIM1"
60,2025,8,17,6,30,"105.63333333333334","px moyen","SIM1"
61,2025,8,17,6,30,"105","px min","SIM1"
62,2025,8,17,6,30,"107","px max","SIM1"
63,2025,8,17,6,30,"90","count sample","SIM1"
64,2025,8,17,7,0,"105.53333333333333","px moyen","SIM1"
65,2025,8,17,7,0,"104","px min","SIM1"
66,2025,8,17,7,0,"107","px max","SIM1"
67,2025,8,17,7,0,"90","count sample","SIM1"
68,2025,8,17,7,30,"107.54444444444445","px moyen","SIM1"
69,2025,8,17,7,30,"106","px min","SIM1"
70,2025,8,17,7,30,"110","px max","SIM1"
71,2025,8,17,7,30,"90","count sample","SIM1"
72,2025,8,17,8,0,"144","px moyen","SIM1"
73,2025,8,17,8,0,"144","px min","SIM1"
74,2025,8,17,8,0,"144","px max","SIM1"
75,2025,8,17,8,0,"90","count sample","SIM1"
76,2025,8,17,8,30,"133.87777777777777","px moyen","SIM1"
77,2025,8,17,8,30,"121","px min","SIM1"
78,2025,8,17,8,30,"145","px max","SIM1"
79,2025,8,17,8,30,"90","count sample","SIM1"
80,2025,8,17,9,0,"141.73333333333332","px moyen","SIM1"
81,2025,8,17,9,0,"141","px min","SIM1"
82,2025,8,17,9,0,"142","px max","SIM1"
83,2025,8,17,9,0,"90","count sample","SIM1"
84,2025,8,17,9,30,"142.98888888888888","px moyen","SIM1"
85,2025,8,17,9,30,"142","px min","SIM1"
86,2025,8,17,9,30,"144","px max","SIM1"
87,2025,8,17,9,30,"90","count sample","SIM1"
88,2025,8,17,10,0,"142.6","px moyen","SIM1"
89,2025,8,17,10,0,"141","px min","SIM1"
90,2025,8,17,10,0,"145","px max","SIM1"
91,2025,8,17,10,0,"90","count sample","SIM1"
