camera_id,pas_de_temps,count sample,px max,px min,px moyen
SIM1,2025-11-04T22:15:00+00:00,30,341,332,337.266666666667
SIM1,2025-11-04T22:45:00+00:00,30,364,348,358.733333333333
SIM1,2025-11-04T23:15:00+00:00,30,348,172,278.7
SIM1,2025-11-04T23:45:00+00:00,30,366,207,234.4
SIM1,2025-11-05T08:45:00+00:00,30,0,0,0
SIM1,2025-11-05T09:00:00+00:00,30,1,0,0.0333333333333333
SIM1,2025-11-05T09:30:00+00:00,30,0,0,0
SIM1,2025-11-05T10:00:00+00:00,30,157,25,87.8333333333333
SIM1,2025-11-05T10:15:00+00:00,30,162,120,146.3
SIM1,2025-11-05T10:30:00+00:00,30,218,69,154.9
SIM1,2025-11-05T10:45:00+00:00,30,71,0,19.8333333333333
SIM1,2025-11-05T11:00:00+00:00,30,207,163,176.1
SIM1,2025-11-05T11:15:00+00:00,30,163,20,111.033333333333
SIM1,2025-11-05T11:30:00+00:00,30,244,146,184.833333333333
SIM1,2025-11-05T11:45:00+00:00,30,53,0,19.0666666666667
SIM1,2025-11-05T12:15:00+00:00,30,350,251,296.1
SIM1,2025-11-05T12:45:00+00:00,30,112,23,70.5333333333333
SIM1,2025-11-05T13:00:00+00:00,30,149,104,129.533333333333
SIM1,2025-11-05T13:15:00+00:00,30,176,126,150.3
SIM1,2025-11-05T13:30:00+00:00,30,163,110,132.433333333333
SIM1,2025-11-05T13:45:00+00:00,30,58,0,27.7
SIM1,2025-11-05T14:00:00+00:00,30,141,89,113.366666666667
SIM1,2025-11-05T14:15:00+00:00,30,90,42,65.4
SIM1,2025-11-05T14:30:00+00:00,30,83,70,75.9
SIM1,2025-11-05T15:00:00+00:00,30,79,55,70.2333333333333
SIM1,2025-11-05T15:15:00+00:00,30,185,40,86.2333333333333
SIM1,2025-11-05T15:45:00+00:00,30,48,0,24.3333333333333
SIM1,2025-11-05T16:00:00+00:00,30,0,0,0
SIM1,2025-11-05T16:15:00+00:00,30,65,13,49.9
SIM1,2025-11-05T16:30:00+00:00,30,75,50,61.2666666666667
SIM1,2025-11-05T16:45:00+00:00,30,147,139,143.166666666667
SIM1,2025-11-05T20:45:00+00:00,30,112,108,110
SIM1,2025-11-05T21:00:00+00:00,30,111,107,108.266666666667
SIM1,2025-11-05T21:15:00+00:00,30,113,111,111.266666666667
SIM1,2025-11-05T21:30:00+00:00,30,113,112,112.033333333333
SIM1,2025-11-05T21:45:00+00:00,30,112,112,112
SIM1,2025-11-05T22:00:00+00:00,30,133,122,129.366666666667
SIM1,2025-11-05T22:15:00+00:00,30,130,125,128.1
SIM1,2025-11-05T22:30:00+00:00,30,125,122,123
SIM1,2025-11-05T22:45:00+00:00,30,133,126,129.766666666667
SIM1,2025-11-05T23:00:00+00:00,30,144,140,142.733333333333
SIM1,2025-11-05T23:15:00+00:00,30,131,128,129.433333333333
SIM1,2025-11-05T23:30:00+00:00,30,138,128,134.133333333333
SIM1,2025-11-05T23:45:00+00:00,30,128,126,127.1
SIM1,2025-11-06T00:00:00+00:00,30,146,143,144.933333333333
SIM1,2025-11-06T00:15:00+00:00,30,121,119,119.8
SIM1,2025-11-06T00:30:00+00:00,30,130,126,127.633333333333
SIM1,2025-11-06T00:45:00+00:00,30,111,109,110.266666666667
SIM1,2025-11-06T01:00:00+00:00,30,120,115,117.333333333333
SIM1,2025-11-06T01:15:00+00:00,30,117,112,113.766666666667
SIM1,2025-11-06T01:30:00+00:00,30,122,115,118.5
SIM1,2025-11-06T01:45:00+00:00,30,113,111,111.866666666667
SIM1,2025-11-06T02:00:00+00:00,30,115,112,113.433333333333
SIM1,2025-11-06T02:15:00+00:00,30,112,110,110.166666666667
SIM1,2025-11-06T02:30:00+00:00,30,126,117,121.4
SIM1,2025-11-06T02:45:00+00:00,30,112,110,110.533333333333
SIM1,2025-11-06T03:00:00+00:00,30,114,106,107.633333333333
SIM1,2025-11-06T03:15:00+00:00,30,111,108,109.466666666667
SIM1,2025-11-06T03:30:00+00:00,30,112,109,110.266666666667
SIM1,2025-11-06T03:45:00+00:00,30,132,126,130.566666666667
SIM1,2025-11-06T04:00:00+00:00,30,106,103,104.133333333333
SIM1,2025-11-06T04:15:00+00:00,30,105,90,99.7
SIM1,2025-11-06T04:30:00+00:00,30,102,98,100.233333333333
SIM1,2025-11-06T04:45:00+00:00,30,100,96,97.7666666666667
SIM1,2025-11-06T05:00:00+00:00,30,105,103,104.1
SIM1,2025-11-06T05:15:00+00:00,30,90,82,84.8666666666667
SIM1,2025-11-06T05:30:00+00:00,30,103,100,101.4
SIM1,2025-11-06T05:45:00+00:00,30,93,88,90.0333333333333
SIM1,2025-11-06T06:00:00+00:00,30,77,34,40
SIM1,2025-11-06T06:15:00+00:00,30,140,137,138.3
SIM1,2025-11-06T08:15:00+00:00,30,157,155,156.266666666667
SIM1,2025-11-06T08:30:00+00:00,30,152,151,151.166666666667
SIM1,2025-11-06T08:45:00+00:00,30,149,149,149
SIM1,2025-11-06T09:00:00+00:00,30,150,148,149.933333333333
SIM1,2025-11-06T09:15:00+00:00,30,146,145,145.866666666667
SIM1,2025-11-06T09:30:00+00:00,30,149,148,148.266666666667
SIM1,2025-11-06T09:45:00+00:00,30,147,146,146.1
SIM1,2025-11-06T10:00:00+00:00,30,147,145,146
SIM1,2025-11-06T10:15:00+00:00,30,150,149,149.066666666667
SIM1,2025-11-06T10:30:00+00:00,30,149,148,148.733333333333
SIM1,2025-11-06T10:45:00+00:00,30,149,149,149
